"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"49019","0","10","70","0","2017","A","",554,5613,181705125,108896139,1441324,622,32370,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,0.7,237,4.4,13533002,8.0,9640022,9.7,-5290,-0.4,20,3.3,1088,3.5
"49021","0","10","70","0","2017","A","",1554,17400,576244561,285178351,1561607,637,33118,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",64,4.3,718,4.3,38042428,7.1,22412667,8.5,-171680,-9.9,17,2.7,856,2.7
"49023","0","10","70","0","2017","A","",277,3521,119934125,56274529,294690,655,34067,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",6,2.2,-70,-1.9,-6124023,-4.9,-2364967,-4.0,-237534,-44.6,-20,-3.0,-1034,-2.9
"49025","0","10","70","0","2017","A","",320,3416,111661553,65577699,584698,629,32690,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1,0.3,52,1.5,6529040,6.2,3873777,6.3,-25023,-4.1,28,4.7,1438,4.6
"49027","0","10","70","0","2017","A","",390,4770,188123761,85822078,353579,759,39443,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",10,2.6,219,4.8,6665350,3.7,5589236,7.0,-19168,-5.1,-8,-1.0,-426,-1.1
"49029","0","10","70","0","2017","A","",340,2253,87342580,42615178,235155,746,38769,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",20,6.2,125,5.9,9740849,12.6,5060203,13.5,-5178,-2.2,45,6.4,2296,6.3
"49031","0","10","70","0","2017","A","",48,276,7780095,3302081,44290,541,28155,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",2,4.3,30,12.2,1143855,17.2,883931,36.6,27409,162.4,21,4.0,1123,4.2
"49033","0","10","70","0","2017","A","",132,819,21779576,11855334,85522,512,26598,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5,3.9,36,4.6,892270,4.3,937324,8.6,-5355,-5.9,-1,-0.2,-75,-0.3
"49035","0","10","70","0","2017","A","",44238,684426,36087529587,15760410003,95571755,1014,52727,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1096,2.5,15945,2.4,1888569880,5.5,892013429,6.0,-9599533,-9.1,30,3.0,1568,3.1
"49037","0","10","70","0","2017","A","",333,4141,146783059,57065458,681571,682,35449,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-2,-0.6,58,1.4,1362915,0.9,744211,1.3,-13804,-2.0,-3,-0.4,-171,-0.5
"49039","0","10","70","0","2017","A","",620,7517,235448143,100077627,605999,602,31320,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",23,3.9,139,1.9,9100586,4.0,3994675,4.2,-104849,-14.7,12,2.0,642,2.1
"49041","0","10","70","0","2017","A","",662,8641,304414661,156876379,968205,678,35231,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",9,1.4,252,3.0,20305818,7.1,9170994,6.2,-173238,-15.2,27,4.1,1365,4.0
"49043","0","10","70","0","2017","A","",2853,26948,1189617438,641692185,5321755,849,44144,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",110,4.0,435,1.6,91340182,8.3,52081158,8.8,-446309,-7.7,52,6.5,2721,6.6
"49045","0","10","70","0","2017","A","",1111,16213,651532619,308133639,1875164,773,40185,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",36,3.3,415,2.6,28680582,4.6,12303298,4.2,-290159,-13.4,15,2.0,759,1.9
"49047","0","10","70","0","2017","A","",1225,12469,552144893,267432398,2639709,852,44281,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-31,-2.5,76,0.6,28327494,5.4,16806468,6.7,1079606,69.2,39,4.8,2015,4.8
"49049","0","10","70","0","2017","A","",15896,230575,10123333371,4797217223,24650727,844,43905,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",804,5.3,10800,4.9,744813364,7.9,415279120,9.5,-1700044,-6.5,23,2.8,1232,2.9
"49051","0","10","70","0","2017","A","",1078,8708,331328580,165134746,925609,732,38047,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",78,7.8,557,6.8,27458442,9.0,16068397,10.8,-77990,-7.8,15,2.1,768,2.1
"49053","0","10","70","0","2017","A","",5638,62897,2215560424,1190604872,6574040,677,35225,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",267,5.0,2709,4.5,164044138,8.0,88818035,8.1,-699404,-9.6,22,3.4,1140,3.3
"49055","0","10","70","0","2017","A","",132,1025,31040438,16243044,281905,582,30288,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",4,3.1,28,2.8,2603126,9.2,1680309,11.5,2323,0.8,34,6.2,1770,6.2
"49057","0","10","70","0","2017","A","",5988,103834,4231082590,2033922514,12038296,784,40749,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",138,2.4,1827,1.8,187845934,4.6,115405692,6.0,-1012811,-7.8,22,2.9,1112,2.8
